player_ID,name_common
tinkejo01,Joe Tinker
jacksre01,Reggie Jackson
keelewi01,Willie Keeler
kellge01,George Kell
perryga01,Gaylord Perry
brownra99,Ray Brown
killeha01,Harmon Killebrew
gehrilo01,Lou Gehrig
hoytwa01,Waite Hoyt
lindsfr01,Freddie Lindstrom
foxxji01,Jimmie Foxx
youngro01,Ross Youngs
fordwh01,Whitey Ford
taylobe99,Ben Taylor
smoltjo01,John Smoltz
duffyhu01,Hugh Duffy
fellebo01,Bob Feller
dihigma99,Martin Dihigo
applilu01,Luke Appling
suttodo01,Don Sutton
martipe02,Pedro Martinez
thomafr04,Frank Thomas
careyma01,Max Carey
roberro01,Robin Roberts
pennohe01,Herb Pennock
fiskca01,Carlton Fisk
molitpa01,Paul Molitor
palmeji01,Jim Palmer
traynpi01,Pie Traynor
brettge01,George Brett
wilheho01,Hoyt Wilhelm
leonabu99,Buck Leonard
robinja02,Jackie Robinson
aaronha01,Hank Aaron
bancrda01,Dave Bancroft
wanerpa01,Paul Waner
faberre01,Red Faber
lloydjo99,Pop Lloyd
bunniji01,Jim Bunning
walshed01,Ed Walsh
schmimi01,Mike Schmidt
friscfr01,Frankie Frisch
wadderu01,Rube Waddell
alomaro01,Roberto Alomar
ricesa01,Sam Rice
bendech01,Chief Bender
carewro01,Rod Carew
lazzeto01,Tony Lazzeri
hornsro01,Rogers Hornsby
rodriiv01,Ivan Rodriguez
dobyla01,Larry Doby
smithoz01,Ozzie Smith
colliji01,Jimmy Collins
irvinmo01,Monte Irvin
lemonbo01,Bob Lemon
riceji01,Jim Rice
grovele01,Lefty Grove
kellyki01,King Kelly
morrija02,Jack Morris
gordojo01,Joe Gordon
schalra01,Ray Schalk
greenha01,Hank Greenberg
suttlmu99,Mule Suttles
davisge01,George Davis
koufasa01,Sandy Koufax
mazerbi01,Bill Mazeroski
mcginjo01,Joe McGinnity
doerrbo01,Bobby Doerr
bankser01,Ernie Banks
mendejo99,Jose Mendez
torricr99,Cristobal Torriente
murraed02,Eddie Murray
mccovwi01,Willie McCovey
seweljo01,Joe Sewell
gomezle01,Lefty Gomez
puckeki01,Kirby Puckett
bellco99,Cool Papa Bell
snidedu01,Duke Snider
gosligo01,Goose Goslin
crawfsa01,Sam Crawford
steartu99,Turkey Stearnes
rusieam01,Amos Rusie
bresnro01,Roger Bresnahan
charlos99,Oscar Charleston
hafeych01,Chick Hafey
stargwi01,Willie Stargell
ewingbu01,Buck Ewing
kleinch01,Chuck Klein
cartega01,Gary Carter
gwynnto01,Tony Gwynn
ruthba01,Babe Ruth
grimebu01,Burleigh Grimes
kellejo01,Joe Kelley
grantfr99,Frank Grant
lombaer01,Ernie Lombardi
griffke02,Ken Griffey
youngcy01,Cy Young
sislege01,George Sisler
jonesch06,Chipper Jones
deandi01,Dizzy Dean
wilsoha01,Hack Wilson
broutda01,Dan Brouthers
gossari01,Rich Gossage
niekrph01,Phil Niekro
thomeji01,Jim Thome
brownwi02,Willard Brown
connoro01,Roger Connor
galvipu01,Pud Galvin
whitede01,Deacon White
yastrca01,Carl Yastrzemski
o'rouji01,Jim O'Rourke
coopean99,Andy Cooper
dimagjo01,Joe DiMaggio
maricju01,Juan Marichal
robinbr01,Brooks Robinson
lajoina01,Nap Lajoie
dawsoan01,Andre Dawson
santoro01,Ron Santo
johnswa01,Walter Johnson
piazzmi01,Mike Piazza
simmoal01,Al Simmons
gibsobo01,Bob Gibson
mackebi99,Biz Mackey
wheatza01,Zack Wheat
mayswi01,Willie Mays
hubbeca01,Carl Hubbell
raineti01,Tim Raines
haineje01,Jesse Haines
speaktr01,Tris Speaker
dayle99,Leon Day
ottme01,Mel Ott
burkeje01,Jesse Burkett
vanceda01,Dazzy Vance
ryanno01,Nolan Ryan
ferreri01,Rick Ferrell
spahnwa01,Warren Spahn
johnsju99,Judy Johnson
bakerfr01,Home Run Baker
hoopeha01,Harry Hooper
willibi01,Billy Williams
chancfr01,Frank Chance
rixeyep01,Eppa Rixey
willijo99,Smokey Joe Williams
clemero01,Roberto Clemente
fingero01,Rollie Fingers
radboch01,Old Hoss Radbourn
becklja01,Jake Beckley
cochrmi01,Mickey Cochrane
robinfr02,Frank Robinson
kellyge01,High Pockets Kelly
welchmi01,Mickey Welch
wellswi99,Willie Wells
mizejo01,Johnny Mize
ruffire01,Red Ruffing
johnsra05,Randy Johnson
clarkjo01,John Clarkson
reesepe01,Pee Wee Reese
roganbu99,Bullet Rogan
chesbja01,Jack Chesbro
