number,one,two,three,four,five,six,seven,eight,nine
1,Hack,Waitkus,Dallessandro,Nicholson,Novikoff,Herman,Stringer,McCullough,pitcher
2,Hack,Waitkus,Dallessandro,Nicholson,Novikoff,Herman,Stringer,McCullough,pitcher
3,Hack,Stringer,Dallessandro,Nicholson,Novikoff,Russell,McCullough,Myers,pitcher
4,Hack,Stringer,Dallessandro,Nicholson,Novikoff,Russell,McCullough,Myers,pitcher
5,Hack,Stringer,Dallessandro,Nicholson,Novikoff,Russell,McCullough,Myers,pitcher
6,Hack,Russell,Dallessandro,Nicholson,Novikoff,Herman,McCullough,Myers,pitcher
7,Hack,Waitkus,Dallessandro,Nicholson,Novikoff,Herman,McCullough,Myers,pitcher
8,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,Herman,McCullough,Myers,pitcher
9,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,Herman,McCullough,Myers,pitcher
10,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,Stringer,Scheffing,Myers,pitcher
11,Hack,Cavarretta,Dallessandro,Nicholson,Galan,Herman,McCullough,Myers,pitcher
12,Hack,Myers,Dallessandro,Nicholson,Galan,Herman,Cavarretta,McCullough,pitcher
13,Hack,Myers,Dallessandro,Nicholson,Galan,Herman,Cavarretta,McCullough,pitcher
14,Hack,Myers,Dallessandro,Nicholson,Galan,Herman,Waitkus,McCullough,pitcher
15,Hack,Stringer,Dallessandro,Nicholson,Novikoff,Herman,Waitkus,McCullough,pitcher
16,Hack,Stringer,Dallessandro,Nicholson,Leiber,Novikoff,McCullough,Myers,pitcher
17,Hack,Galan,Dallessandro,Nicholson,Leiber,McCullough,Stringer,Myers,pitcher
18,Hack,Stringer,Dallessandro,Nicholson,Leiber,Cavarretta,McCullough,Myers,pitcher
19,Hack,Stringer,Dallessandro,Nicholson,Leiber,Cavarretta,McCullough,Myers,pitcher
20,Hack,Stringer,Dallessandro,Leiber,Nicholson,Novikoff,McCullough,Myers,pitcher
21,Hack,Stringer,Dallessandro,Leiber,Nicholson,Novikoff,McCullough,Myers,pitcher
22,Hack,Stringer,Cavarretta,Leiber,Nicholson,Novikoff,McCullough,Sturgeon,pitcher
23,Hack,Stringer,Cavarretta,Leiber,Nicholson,Novikoff,McCullough,Sturgeon,pitcher
24,Hack,Stringer,Cavarretta,Leiber,Nicholson,Novikoff,McCullough,Sturgeon,pitcher
25,Hack,Stringer,Cavarretta,Nicholson,Novikoff,Dallessandro,McCullough,Sturgeon,pitcher
26,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,McCullough,Stringer,Sturgeon,pitcher
27,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,McCullough,Stringer,Sturgeon,pitcher
28,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,McCullough,Stringer,Sturgeon,pitcher
29,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,McCullough,Stringer,Sturgeon,pitcher
30,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,McCullough,Stringer,Sturgeon,pitcher
31,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,George,Stringer,Sturgeon,pitcher
32,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,George,Stringer,Sturgeon,pitcher
33,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,George,Stringer,Sturgeon,pitcher
34,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,George,Stringer,Sturgeon,pitcher
35,Hack,Cavarretta,Dallessandro,Nicholson,Novikoff,McCullough,Stringer,Sturgeon,pitcher
36,Hack,Stringer,Dallessandro,Nicholson,Novikoff,Cavarretta,Sturgeon,McCullough,pitcher
37,Hack,Stringer,Dallessandro,Leiber,Novikoff,Cavarretta,Sturgeon,McCullough,pitcher
38,Hack,Stringer,Dallessandro,Leiber,Novikoff,Cavarretta,Sturgeon,George,pitcher
39,Hack,Stringer,Dallessandro,Nicholson,Novikoff,Cavarretta,Scheffing,Sturgeon,pitcher
40,Hudson,Stringer,Dallessandro,Leiber,Novikoff,Cavarretta,McCullough,Sturgeon,pitcher
41,Hack,Stringer,Dallessandro,Nicholson,Leiber,Cavarretta,McCullough,Sturgeon,pitcher
42,Hack,Stringer,Dallessandro,Leiber,Novikoff,Cavarretta,McCullough,Sturgeon,pitcher
43,Hack,Stringer,Dallessandro,Nicholson,Novikoff,Cavarretta,McCullough,Sturgeon,pitcher
44,Hack,Stringer,Dallessandro,Galan,Leiber,Novikoff,McCullough,Sturgeon,pitcher
45,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Galan,McCullough,Stringer,pitcher
46,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Galan,Scheffing,Stringer,pitcher
47,Hack,Sturgeon,Dallessandro,Nicholson,Galan,Leiber,Scheffing,Stringer,pitcher
48,Hack,Sturgeon,Dallessandro,Nicholson,Galan,Leiber,McCullough,Stringer,pitcher
49,Hack,Sturgeon,Dallessandro,Nicholson,Novikoff,Leiber,Scheffing,Stringer,pitcher
50,Hack,Sturgeon,Dallessandro,Nicholson,Galan,Cavarretta,McCullough,Stringer,pitcher
51,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Cavarretta,McCullough,Stringer,pitcher
52,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Cavarretta,McCullough,Stringer,pitcher
53,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Cavarretta,Scheffing,Stringer,pitcher
54,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Cavarretta,McCullough,Stringer,pitcher
55,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Dahlgren,McCullough,Stringer,pitcher
56,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Dahlgren,McCullough,Stringer,pitcher
57,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Dahlgren,McCullough,Stringer,pitcher
58,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Dahlgren,McCullough,Stringer,pitcher
59,Hack,Sturgeon,Cavarretta,Nicholson,Leiber,Dahlgren,McCullough,Stringer,pitcher
60,Hack,Sturgeon,Cavarretta,Nicholson,Leiber,Dahlgren,McCullough,Stringer,pitcher
61,Hack,Sturgeon,Cavarretta,Nicholson,Dallessandro,Dahlgren,McCullough,Stringer,pitcher
62,Hack,Sturgeon,Cavarretta,Nicholson,Dallessandro,Dahlgren,Scheffing,Stringer,pitcher
63,Hack,Sturgeon,Cavarretta,Nicholson,Dallessandro,Dahlgren,McCullough,Stringer,pitcher
64,Hack,Sturgeon,Dallessandro,Nicholson,Leiber,Dahlgren,McCullough,Stringer,pitcher
65,Hack,Stringer,Dallessandro,Nicholson,Dahlgren,Cavarretta,McCullough,Sturgeon,pitcher
66,Hack,Stringer,Dallessandro,Nicholson,Dahlgren,Cavarretta,McCullough,Sturgeon,pitcher
67,Hack,Stringer,Cavarretta,Nicholson,Dallessandro,Dahlgren,George,Sturgeon,pitcher
68,Hack,Stringer,Cavarretta,Nicholson,Dallessandro,Dahlgren,George,Sturgeon,pitcher
69,Hack,Stringer,Cavarretta,Nicholson,Dallessandro,Dahlgren,McCullough,Sturgeon,pitcher
