year,number,one,two,three,four,five,six,seven,eight,nine
1908,1,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,2,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,3,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,4,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,5,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,6,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,7,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,8,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,9,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,10,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,11,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,12,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Tinker,Moran,pitcher
1908,13,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,14,Slagle,Sheckard,Schulte,Howard,Steinfeldt,Evers,Tinker,Moran,pitcher
1908,15,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,16,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,17,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Evers,Tinker,Kling,pitcher
1908,18,Slagle,Sheckard,Schulte,Hofman,Steinfeldt,Evers,Tinker,Moran,pitcher
1908,19,Slagle,Sheckard,Schulte,Hofman,Steinfeldt,Evers,Kling,Tinker,pitcher
1908,20,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Kling,Tinker,pitcher
1908,21,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Kling,Tinker,pitcher
1908,22,Evers,Sheckard,Schulte,Chance,Steinfeldt,Hofman,Kling,Tinker,pitcher
1908,23,Evers,Sheckard,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,24,Evers,Sheckard,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,25,Evers,Sheckard,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,26,Evers,Sheckard,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,27,Evers,Sheckard,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,28,Evers,Sheckard,Schulte,Chance,Steinfeldt,Slagle,Moran,Tinker,pitcher
1908,29,Evers,Sheckard,Schulte,Chance,Steinfeldt,Slagle,Moran,Tinker,pitcher
1908,30,Evers,Sheckard,Schulte,Chance,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,31,Evers,Sheckard,Schulte,Chance,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,32,Evers,Zimmerman,Schulte,Chance,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,33,Zimmerman,Sheckard,Schulte,Chance,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,34,Zimmerman,Sheckard,Schulte,Chance,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,35,Zimmerman,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Moran,Tinker,pitcher
1908,36,Zimmerman,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,37,Evers,Sheckard,Schulte,Hofman,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,38,Evers,Slagle,Schulte,Hofman,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,39,Evers,Hofman,Schulte,Chance,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,40,Evers,Hofman,Schulte,Chance,Steinfeldt,Howard,Kling,Tinker,pitcher
1908,41,Evers,Hofman,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,42,Evers,Hofman,Kling,Chance,Steinfeldt,Slagle,Moran,Tinker,pitcher
1908,43,Evers,Hofman,Kling,Chance,Steinfeldt,Slagle,Moran,Tinker,pitcher
1908,44,Slagle,Hofman,Kling,Chance,Steinfeldt,Schulte,Moran,Tinker,pitcher
1908,45,Evers,Hofman,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,46,Evers,Hofman,Schulte,Chance,Steinfeldt,Slagle,Moran,Tinker,pitcher
1908,47,Evers,Hofman,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,48,Evers,Hofman,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,49,Evers,Hofman,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,50,Evers,Hofman,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,51,Evers,Hofman,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,52,Evers,Hofman,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,53,Marshall,Hofman,Schulte,Chance,Steinfeldt,Slagle,Kling,Tinker,pitcher
1908,54,Slagle,Howard,Schulte,Chance,Steinfeldt,Kling,Hofman,Tinker,pitcher
1908,55,Slagle,Howard,Schulte,Chance,Steinfeldt,Kling,Evers,Tinker,pitcher
1908,56,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Kling,Evers,Tinker,pitcher
1908,57,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Kling,Hofman,Tinker,pitcher
1908,58,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Kling,Hofman,Tinker,pitcher
1908,59,Slagle,Sheckard,Schulte,Howard,Steinfeldt,Kling,Hofman,Tinker,pitcher
1908,60,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Kling,Hofman,Tinker,pitcher
1908,61,Slagle,Sheckard,Schulte,Chance,Steinfeldt,Kling,Hofman,Tinker,pitcher
1908,62,Slagle,Sheckard,Howard,Chance,Steinfeldt,Kling,Hofman,Tinker,pitcher
1908,63,Slagle,Sheckard,Howard,Chance,Steinfeldt,Kling,Hofman,Tinker,pitcher
1908,64,Slagle,Sheckard,Howard,Chance,Steinfeldt,Marshall,Hofman,Tinker,pitcher
1908,65,Slagle,Sheckard,Howard,Chance,Steinfeldt,Moran,Hofman,Tinker,pitcher
1908,66,Slagle,Sheckard,Howard,Chance,Steinfeldt,Moran,Hofman,Tinker,pitcher
1908,67,Slagle,Sheckard,Howard,Chance,Steinfeldt,Moran,Hofman,Tinker,pitcher
1908,68,Hofman,Sheckard,Howard,Zimmerman,Steinfeldt,Moran,Marshall,Tinker,pitcher
1908,69,Hofman,Sheckard,Howard,Zimmerman,Steinfeldt,Moran,Durbin,Tinker,pitcher
1908,70,Hofman,Sheckard,Howard,Zimmerman,Steinfeldt,Moran,Durbin,Tinker,pitcher
1908,71,Hofman,Sheckard,Howard,Zimmerman,Steinfeldt,Moran,Durbin,Tinker,pitcher
1908,72,Hofman,Sheckard,Howard,Zimmerman,Steinfeldt,Moran,Durbin,Tinker,pitcher
1908,73,Hofman,Sheckard,Howard,Zimmerman,Steinfeldt,Moran,Durbin,Tinker,pitcher
1908,74,Hofman,Sheckard,Howard,Zimmerman,Steinfeldt,Moran,Durbin,Tinker,pitcher
1908,75,Hofman,Sheckard,Howard,Zimmerman,Steinfeldt,Moran,Durbin,Tinker,pitcher
1908,76,Hofman,Sheckard,Howard,Zimmerman,Steinfeldt,Moran,Durbin,Tinker,pitcher
1908,77,Hofman,Sheckard,Howard,Chance,Steinfeldt,Evers,Moran,Tinker,pitcher
1908,78,Hofman,Sheckard,Howard,Chance,Steinfeldt,Evers,Moran,Tinker,pitcher
1908,79,Slagle,Sheckard,Howard,Chance,Hofman,Evers,Moran,Tinker,pitcher
1908,80,Slagle,Sheckard,Howard,Chance,Hofman,Evers,Moran,Tinker,pitcher
1908,81,Slagle,Sheckard,Kling,Chance,Hofman,Evers,Moran,Tinker,pitcher
1908,82,Slagle,Sheckard,Kling,Hofman,Zimmerman,Evers,Moran,Tinker,pitcher
1908,83,Slagle,Sheckard,Howard,Hofman,Steinfeldt,Evers,Moran,Tinker,pitcher
1908,84,Slagle,Sheckard,Howard,Hofman,Steinfeldt,Evers,Kling,Tinker,pitcher
1908,85,Slagle,Sheckard,Howard,Hofman,Steinfeldt,Evers,Moran,Tinker,pitcher
1908,86,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Moran,pitcher
1908,87,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Moran,pitcher
1908,88,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,89,Slagle,Sheckard,Chance,Tinker,Steinfeldt,Howard,Hofman,Kling,pitcher
1908,90,Slagle,Sheckard,Chance,Tinker,Steinfeldt,Howard,Hofman,Kling,pitcher
1908,91,Slagle,Sheckard,Chance,Tinker,Steinfeldt,Howard,Hofman,Moran,pitcher
1908,92,Slagle,Sheckard,Kling,Tinker,Steinfeldt,Howard,Hofman,Moran,pitcher
1908,93,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,94,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,95,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,96,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,97,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,98,Slagle,Sheckard,Hofman,Evers,Steinfeldt,Howard,Tinker,Moran,pitcher
1908,99,Hofman,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,100,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,101,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,102,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Kling,pitcher
1908,103,Slagle,Sheckard,Chance,Evers,Steinfeldt,Howard,Tinker,Moran,pitcher
1908,104,Slagle,Sheckard,Tinker,Evers,Steinfeldt,Howard,Chance,Kling,pitcher
1908,105,Slagle,Sheckard,Tinker,Evers,Steinfeldt,Howard,Hofman,Kling,pitcher
