team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,1990-04-09.NYN199004090,PIT,@,NYM,9,43.9,6,3,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,.333,.667,.333,1.000,5,.61,0.055,1.32,LF
2,1990-04-11.NYN199004110,PIT,@,NYM,-3,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.143,.400,.143,.543,1,1.25,-0.124,-1.23,LF
3,1990-04-12.NYN199004120,PIT,@,NYM,4,43.9,5,5,0,2,1,0,0,3,0,0,1,0,0,0,0,0,1,0,.250,.400,.333,.733,1,.86,0.199,2.44,LF
4,1990-04-13.PIT199004130,PIT,,CHC,-2,43.9,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.333,.444,.400,.844,5,.78,0.056,0.45,LF
5,1990-04-14.PIT199004140,PIT,,CHC,-3,43.9,4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.278,.364,.333,.697,5,1.17,-0.103,-0.89,LF
6,1990-04-15.PIT199004150,PIT,,CHC,1,8.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.263,.348,.316,.664,9,2.21,-0.054,-0.21,LF
7,1990-04-16.PIT199004160,PIT,,STL,-2,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.217,.296,.261,.557,5,1.25,-0.129,-1.26,LF
8,1990-04-17.PIT199004170,PIT,,STL,5,43.9,4,3,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,.231,.323,.346,.669,1,.63,0.142,0.97,LF
9,1990-04-18.PIT199004180,PIT,,STL,-3,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.286,.300,.586,1,1.29,-0.131,-1.00,LF
10,1990-04-19.SLN199004190,PIT,@,STL,4,43.9,4,4,1,2,1,0,1,2,0,0,1,0,0,0,0,0,0,1,.235,.308,.441,.749,5,1.21,0.101,1.23,LF
11,1990-04-20.CHN199004200,PIT,@,CHC,5,41.7,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.237,.302,.421,.723,1,.66,-0.026,0.36,LF
