team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,1973-04-06.ATL197304060,HOU,@,ATL,1,48.3,6,6,0,3,2,1,0,1,0,0,2,0,0,0,0,0,0,0,.500,.500,1.167,1.667,3,1.60,0.418,0.92,CF
2,1973-04-08.ATL197304081,HOU,@,ATL,7,43.9,5,5,3,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,.636,.636,1.455,2.091,3,.73,0.264,3.02,CF
3,1973-04-08.ATL197304082,HOU,@,ATL,-1,45.0,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,.533,.533,1.133,1.667,3,.86,-0.022,-0.60,CF
4,1973-04-09.HOU197304090,HOU,,LAD,3,43.9,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.500,.500,1.000,1.500,3,1.49,-0.043,-0.32,CF
5,1973-04-10.HOU197304100,HOU,,LAD,1,47.2,5,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,.409,.435,.818,1.253,3,1.29,-0.082,-0.60,CF
6,1973-04-11.SFN197304110,HOU,@,SFG,-1,43.9,4,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,.400,.444,.800,1.244,3,1.15,-0.082,-0.36,CF
7,1973-04-12.SFN197304120,HOU,@,SFG,-6,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.345,.387,.690,1.077,3,.27,-0.027,-0.64,CF
8,1973-04-13.SDN197304130,HOU,@,SDP,-1,43.9,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.344,.400,.750,1.150,3,.49,0.135,0.99,CF
9,1973-04-14.SDN197304140,HOU,@,SDP,3,43.9,5,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.333,.400,.694,1.094,3,1.08,0.122,0.47,CF
10,1973-04-15.SDN197304151,HOU,@,SDP,-4,43.9,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.316,.409,.658,1.067,3,.68,-0.031,-0.30,CF
11,1973-04-15.SDN197304152,HOU,@,SDP,-4,43.9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.293,.383,.610,.993,3,.34,-0.025,-0.26,CF
12,1973-04-16.LAN197304160,HOU,@,LAD,-1,48.3,6,5,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,.304,.396,.587,.983,3,2.14,0.674,2.38,CF
13,1973-04-17.LAN197304170,HOU,@,LAD,-5,43.9,4,4,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,.320,.404,.620,1.024,3,.38,0.060,1.37,CF
14,1973-04-18.LAN197304180,HOU,@,LAD,5,43.9,5,4,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.315,.403,.611,1.014,3,.88,-0.002,-0.11,CF
15,1973-04-20.HOU197304200,HOU,,SDP,4,43.9,4,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,.321,.424,.607,1.031,3,.50,0.026,0.86,CF
16,1973-04-21.HOU197304210,HOU,,SDP,4,43.9,4,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,.339,.443,.610,1.053,3,.86,0.074,1.17,CF
17,1973-04-22.HOU197304220,HOU,,SDP,1,43.9,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.317,.419,.571,.990,3,1.06,-0.105,-0.87,CF
18,1973-04-23.HOU197304230,HOU,,SDP,2,43.9,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.299,.397,.537,.935,3,.41,-0.042,-0.67,CF
19,1973-04-24.HOU197304240,HOU,,NYM,2,43.9,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,.310,.402,.549,.952,3,.92,0.003,0.13,CF
20,1973-04-25.HOU197304250,HOU,,NYM,-3,43.9,4,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.301,.395,.534,.930,3,.75,0.006,-0.06,CF
