year,team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,player_game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,re24_def,pitcher_situation_in,pitcher_situation_out
2013,2,2013-04-02.HOU201304020,TEX,@,HOU,7,65.3,9.999,99,8.2,1,0,0,0,14,0,0,0.00,27,111,78,14,26,9,4,2,1,0,96,,,0,0,0,27,0,0,0,0,0,0,.66,0.447,4.10,3,53
2013,6,2013-04-07.TEX201304070,TEX,,LAA,4,39.7,9.998,4,5.0,6,3,3,4,6,0,1,1.98,24,85,50,14,8,6,7,2,2,0,45,,,0,0,0,19,2,0,0,2,0,0,1.39,-0.026,-0.51,0,27
2013,11,2013-04-12.SEA201304120,TEX,@,SEA,-2,46.6,3.999,4,6.0,3,3,3,1,8,0,2,2.75,24,108,61,21,16,6,7,5,2,0,61,,,0,0,0,21,1,0,0,0,0,0,.70,-0.126,-0.33,3,36
2013,16,2013-04-19.TEX201304190,TEX,,SEA,7,52.9,9.997,6,7.0,3,0,0,3,10,0,0,2.02,26,111,69,23,17,8,5,2,0,0,78,,,0,0,0,23,1,0,0,1,0,0,.75,0.299,3.49,0,39
2013,21,2013-04-24.ANA201304240,TEX,@,LAA,8,46.6,9.996,4,6.0,3,0,0,2,11,0,0,1.65,22,100,68,19,23,7,2,0,0,0,75,,,0,0,0,20,0,0,0,1,0,0,.48,0.156,2.73,3,36
2013,26,2013-04-30.TEX201304300,TEX,,CHW,4,46.3,9.995,5,6.0,7,4,4,3,9,1,0,2.33,28,108,64,19,17,4,12,4,3,0,48,,,1,0,0,25,1,1,0,0,0,0,.99,-0.179,-1.01,0,33
2013,31,2013-05-05.TEX201305050,TEX,,BOS,1,52.9,,4,7.0,4,3,3,2,14,2,0,2.56,27,127,78,26,21,7,4,1,0,0,69,,,2,0,0,25,0,0,0,0,0,0,.77,0.029,0.49,0,39
2013,36,2013-05-11.HOU201305110,TEX,@,HOU,1,53.2,9.994,5,7.0,3,3,3,3,8,2,0,2.73,27,105,63,20,9,7,9,3,0,0,64,,,0,1,0,24,0,0,0,0,0,1,.76,-0.081,0.36,3,42
2013,41,2013-05-16.TEX201305160,TEX,,DET,6,59.5,9.993,4,8.0,7,4,4,1,6,2,0,2.97,32,130,90,20,18,10,15,4,1,0,57,,,0,0,0,29,1,0,1,0,2,0,.73,-0.124,-0.01,0,45
2013,46,2013-05-21.TEX201305210,TEX,,OAK,-1,46.3,3.998,4,6.0,5,1,1,3,5,1,1,2.83,25,101,56,13,12,9,7,2,0,0,60,,,0,0,0,21,1,0,0,2,0,0,.98,0.190,1.99,0,33
2013,52,2013-05-27.ARI201305272,TEX,@,ARI,-1,58.7,,5,7.2,7,4,4,0,14,1,0,3.03,30,116,83,21,22,5,11,6,0,0,63,,,1,0,0,29,0,2,0,0,1,0,1.10,-0.197,-0.48,3,47
2013,56,2013-06-02.TEX201306020,TEX,,KCR,2,52.9,,5,7.0,3,0,0,2,6,0,1,2.77,27,99,64,16,11,6,12,6,3,0,75,,,0,0,0,24,0,0,0,0,0,0,1.49,0.464,3.49,0,39
2013,61,2013-06-08.TOR201306080,TEX,@,TOR,-1,53.2,,5,7.0,6,3,2,3,7,0,0,2.75,30,111,73,25,10,12,8,3,2,0,59,,,0,0,0,27,0,1,0,0,0,0,.84,-0.083,0.46,3,42
2013,66,2013-06-13.TEX201306130,TEX,,TOR,-2,52.9,,4,7.0,3,1,1,2,9,0,0,2.64,25,110,59,24,11,9,5,2,0,0,74,,,1,0,0,23,1,0,0,1,0,0,1.07,0.328,2.49,0,39
2013,71,2013-06-18.TEX201306180,TEX,,OAK,-4,46.3,3.997,4,6.0,6,5,4,2,10,2,0,2.84,27,109,70,22,15,2,13,6,4,0,50,,,1,0,0,25,1,0,0,0,0,1,.67,-0.282,-2.01,0,33
2013,77,2013-06-25.NYA201306250,TEX,@,NYY,-1,44.4,,6,5.1,7,3,3,2,6,3,0,2.95,27,110,72,26,9,6,13,4,0,0,46,,,1,0,0,25,0,0,0,0,0,2,1.41,-0.145,-0.61,3,34
2013,82,2013-06-30.TEX201306300,TEX,,CIN,1,51.8,9.992,4,6.2,4,0,0,4,8,0,0,2.78,27,117,77,19,13,6,9,4,1,0,70,,,0,0,0,23,0,0,0,1,0,0,1.05,0.382,3.26,0,38
2013,87,2013-07-06.TEX201307060,TEX,,HOU,-4,49.6,3.996,5,6.0,6,5,5,4,6,1,0,3.02,28,113,70,21,12,7,11,4,3,0,42,,,1,0,0,24,1,0,0,0,0,0,.87,-0.212,-1.39,0,36
2013,99,2013-07-22.TEX201307220,TEX,,NYY,3,50.7,9.991,15,6.1,2,0,0,2,4,0,1,2.86,23,90,60,18,12,6,10,3,4,0,71,,,0,0,0,20,0,0,0,1,0,0,1.20,0.302,2.58,0,37
2013,104,2013-07-27.CLE201307270,TEX,@,CLE,-1,46.6,3.995,4,6.0,3,1,1,4,11,1,0,2.80,25,123,76,26,12,3,7,5,0,0,69,,,4,0,0,21,1,0,0,0,0,0,.96,0.151,1.76,3,36
2013,109,2013-08-01.TEX201308010,TEX,,ARI,6,52.9,9.990,4,7.0,5,0,0,0,14,0,0,2.66,26,111,78,28,12,4,8,3,2,0,81,,,1,0,0,26,0,0,0,0,0,0,.68,0.271,3.49,0,39
2013,114,2013-08-06.ANA201308060,TEX,@,LAA,5,53.2,9.989,4,7.0,8,3,3,3,6,2,0,2.72,30,113,66,19,13,7,14,3,2,0,52,,,0,1,0,27,1,0,0,1,0,0,1.13,0.064,0.19,3,42
2013,119,2013-08-12.HOU201308120,TEX,@,HOU,1,59.8,9.988,5,8.0,1,1,1,1,15,1,0,2.64,26,115,74,29,12,2,8,1,0,0,90,,,1,0,0,25,0,0,0,0,0,0,.96,0.429,2.84,3,48
2013,124,2013-08-18.TEX201308180,TEX,,SEA,-1,57.3,,5,7.1,7,3,3,4,7,0,0,2.68,32,120,73,22,15,10,11,8,1,0,55,,,1,0,0,28,1,0,0,1,0,0,1.57,0.036,1.08,0,43
2013,129,2013-08-24.CHA201308240,TEX,@,CHW,-1,53.2,,5,7.0,6,2,2,3,11,1,0,2.68,28,113,70,21,17,4,10,4,3,0,65,,,0,1,0,25,1,0,0,0,0,0,1.28,0.124,1.52,3,42
2013,134,2013-08-30.TEX201308300,TEX,,MIN,-1,51.8,3.994,5,6.2,3,3,3,2,11,2,0,2.73,24,107,65,20,14,2,9,3,2,0,65,,,0,0,0,22,1,0,0,1,0,0,.91,-0.158,0.17,0,38
2013,139,2013-09-04.OAK201309040,TEX,@,OAK,-7,43.3,3.993,4,5.0,5,5,5,6,4,2,0,2.91,25,100,52,24,5,5,10,3,2,0,35,,,0,1,0,18,0,0,0,0,1,0,.82,-0.248,-2.63,3,33
2013,143,2013-09-09.TEX201309090,TEX,,PIT,-1,52.9,3.992,4,7.0,4,1,1,1,6,0,1,2.84,25,81,54,14,12,9,8,5,0,0,70,,,0,1,0,23,2,0,0,1,0,0,.99,0.214,2.49,0,39
2013,147,2013-09-14.TEX201309140,TEX,,OAK,-1,52.9,3.991,4,7.0,4,1,1,1,10,0,0,2.79,26,113,76,18,20,5,10,2,1,0,74,,,1,0,0,25,1,0,0,0,0,0,.82,0.252,2.49,0,39
2013,152,2013-09-19.TBA201309190,TEX,@,TBR,6,40.0,9.987,4,5.0,5,2,2,6,4,0,1,2.81,23,109,59,18,9,5,7,3,2,0,47,,,0,2,0,16,1,0,0,2,0,0,1.21,-0.001,0.35,3,30
2013,157,2013-09-24.TEX201309240,TEX,,HOU,1,44.1,,4,5.1,4,2,2,4,9,1,0,2.82,24,101,56,14,14,8,3,1,1,0,57,,,1,0,0,19,0,0,0,0,1,0,1.03,-0.011,0.47,0,31
2013,162,2013-09-29.TEX201309290,TEX,,LAA,4,45.2,,4,5.2,4,2,2,2,8,1,0,2.83,21,84,52,12,13,5,6,3,0,0,59,,,1,0,0,19,0,0,0,2,0,0,.88,0.151,1.56,0,32
