year,team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,player_game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,re24_def,draftkings_points,fanduel_points,pitcher_situation_in,pitcher_situation_out
2017,1,2017-04-03.TEX201704030,TEX,,CLE,-3,50.7,,99,6.1,4,4,4,5,4,1,0,5.68,27,98,56,21,6,8,10,6,1,0,48,,,0,0,0,21,2,0,0,2,1,1,1.24,-0.021,-0.63,8.85,19.00,0,37
2017,5,2017-04-08.TEX201704080,TEX,,OAK,-5,46.3,3.999,4,6.0,4,1,1,3,5,0,0,3.65,24,97,61,16,11,6,10,5,1,0,62,,,1,0,1,21,2,0,0,0,0,0,1.17,0.205,2.39,17.30,30.00,0,33
2017,9,2017-04-13.ANA201704130,TEX,@,LAA,5,53.2,9.999,4,7.0,5,0,0,2,10,0,0,2.33,27,103,68,20,18,7,8,2,1,0,75,,,2,0,0,25,0,0,0,1,0,0,.70,0.192,3.55,35.55,63.00,3,42
2017,14,2017-04-18.OAK201704180,TEX,@,OAK,-2,44.4,3.998,4,5.1,3,4,4,2,4,1,0,3.28,20,82,51,16,6,7,7,5,1,0,48,,,0,0,0,18,1,0,0,1,0,0,1.02,-0.089,0.12,9.00,16.00,3,34
2017,19,2017-04-23.TEX201704230,TEX,,KCR,3,59.5,9.998,4,8.0,5,2,2,1,8,2,0,3.03,29,113,79,23,13,10,10,4,1,0,71,,,0,0,0,28,0,0,0,1,0,0,.84,0.316,2.52,30.40,54.00,0,45
2017,24,2017-04-29.TEX201704290,TEX,,LAA,3,46.3,9.997,5,6.0,3,2,2,4,10,0,0,3.03,25,125,73,23,10,1,10,3,1,0,64,,,0,0,0,20,1,0,0,0,1,0,1.28,0.102,1.39,29.30,54.00,0,33
2017,30,2017-05-05.SEA201705050,TEX,@,SEA,2,53.2,,5,7.0,6,1,1,4,5,1,0,2.76,28,116,69,21,8,6,13,9,2,0,62,,,0,1,0,23,0,0,0,2,0,0,1.45,0.325,2.59,17.75,33.00,3,42
2017,35,2017-05-10.TEX201705100,TEX,,SDP,1,46.3,,4,6.0,7,3,3,0,6,2,0,2.96,25,96,68,14,13,9,10,3,1,0,52,,,1,0,0,25,1,0,0,0,0,0,.94,0.020,0.39,15.30,27.00,0,33
2017,40,2017-05-16.TEX201705160,TEX,,PHI,4,52.9,9.996,5,7.0,4,1,1,2,9,0,0,2.76,27,95,70,21,16,8,8,3,3,0,72,,,0,0,0,25,1,0,0,1,0,1,1.14,0.343,2.95,32.15,57.00,0,39
2017,45,2017-05-21.DET201705210,TEX,@,DET,3,40.0,9.995,4,5.0,5,2,2,4,7,1,0,2.83,24,105,63,12,16,2,11,5,0,0,52,,,0,0,0,20,0,0,0,0,0,0,1.26,0.096,0.72,19.85,42.00,3,30
