team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,1987-04-06.CIN198704060,CIN,,MON,6,43.9,5,3,3,3,0,0,1,2,2,0,0,0,0,0,0,0,2,0,1.000,1.000,2.000,3.000,4,.56,0.194,4.42,CF
2,1987-04-08.CIN198704080,CIN,,MON,5,43.9,4,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,.667,.778,1.167,1.944,4,1.47,-0.016,0.10,CF
3,1987-04-10.CIN198704100,CIN,,SDP,3,43.9,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,.600,.692,1.000,1.692,4,.91,0.079,0.89,CF
4,1987-04-11.CIN198704110,CIN,,SDP,4,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.429,.529,.714,1.244,4,.64,-0.061,-1.09,CF
5,1987-04-12.CIN198704120,CIN,,SDP,-3,43.9,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,.444,.524,.833,1.357,4,.94,0.117,0.78,CF
6,1987-04-13.ATL198704130,CIN,@,ATL,5,43.9,5,5,1,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,.478,.538,.870,1.408,4,.95,0.123,1.63,CF
7,1987-04-14.ATL198704140,CIN,@,ATL,3,43.9,4,4,1,2,0,0,1,3,0,0,1,0,0,0,0,0,2,0,.481,.533,.926,1.459,4,.90,0.167,1.70,CF
8,1987-04-15.ATL198704150,CIN,@,ATL,-1,43.9,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.484,.529,.871,1.400,4,1.23,-0.038,-0.04,CF
9,1987-04-17.CIN198704170,CIN,,HOU,1,43.9,4,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,.514,.553,.857,1.410,4,.84,0.076,0.62,CF
10,1987-04-18.CIN198704180,CIN,,HOU,8,18.9,4,3,3,2,0,1,1,3,1,0,1,0,0,0,0,0,0,0,.526,.571,.974,1.545,4,.62,0.166,3.14,CF
11,1987-04-19.CIN198704191,CIN,,HOU,-4,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.476,.522,.881,1.403,4,.59,-0.064,-0.95,CF
13,1987-04-20.SDN198704200,CIN,@,SDP,9,16.7,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.457,.500,.826,1.326,4,.62,-0.010,-0.44,CF
14,1987-04-21.SDN198704210,CIN,@,SDP,-1,43.9,4,3,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,.469,.519,.898,1.416,4,1.91,0.146,1.65,CF
