team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,1990-04-09.OAK199004090,OAK,,MIN,5,43.9,5,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.500,.600,.750,1.350,1,.49,0.041,1.13,LF
2,1990-04-10.OAK199004100,OAK,,MIN,2,43.9,5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,.375,.500,.500,1.000,1,.97,0.057,0.35,LF
3,1990-04-11.OAK199004110,OAK,,MIN,-3,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.357,.333,.690,1,.67,-0.066,-0.68,LF
4,1990-04-13.SEA199004130,OAK,@,SEA,8,17.8,5,5,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,.412,.474,.706,1.180,1,.28,0.098,2.14,LF
5,1990-04-14.SEA199004140,OAK,@,SEA,3,43.9,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,.333,.417,.571,.988,1,.75,-0.014,-0.70,LF
6,1990-04-15.SEA199004150,OAK,@,SEA,3,43.9,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.333,.393,.542,.935,1,1.36,-0.028,-0.40,DH
7,1990-04-17.CAL199004170,OAK,@,CAL,2,47.2,6,5,2,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.345,.412,.552,.963,1,1.71,0.033,-0.12,LF
8,1990-04-18.CAL199004180,OAK,@,CAL,2,43.9,5,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.333,.410,.515,.925,1,1.01,-0.032,-0.40,LF
9,1990-04-19.OAK199004190,OAK,,SEA,3,43.9,5,3,2,2,0,0,0,1,2,0,0,0,0,0,0,0,3,0,.361,.455,.528,.982,1,.55,0.172,2.07,LF
10,1990-04-20.OAK199004200,OAK,,SEA,-5,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.325,.417,.475,.892,1,.86,-0.085,-0.75,LF
11,1990-04-21.OAK199004210,OAK,,SEA,1,46.1,6,5,2,3,1,0,0,1,1,0,1,0,0,0,0,0,2,0,.356,.444,.511,.956,1,1.71,0.619,1.80,LF
13,1990-04-24.BAL199004240,OAK,@,BAL,6,10.1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.348,.436,.500,.936,1,.87,-0.022,-0.22,LF
14,1990-04-25.BAL199004250,OAK,@,BAL,1,18.9,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.320,.417,.460,.877,1,.81,-0.053,-0.90,LF
16,1990-04-27.BOS199004270,OAK,@,BOS,-1,43.9,5,5,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.327,.415,.473,.888,1,.98,0.104,0.65,DH
17,1990-04-28.BOS199004280,OAK,@,BOS,-9,16.7,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.345,.426,.517,.944,1,.76,-0.029,-0.29,LF
18,1990-04-29.BOS199004290,OAK,@,BOS,1,43.9,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,.333,.431,.500,.931,1,1.16,-0.028,-0.28,LF
