team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,1973-04-05.CIN197304050,CIN,,SFG,-3,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,2,1.29,-0.004,-0.16,2B
2,1973-04-07.CIN197304070,CIN,,SFG,-2,46.1,5,4,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,.500,.556,.625,1.181,2,1.11,0.173,1.73,2B
3,1973-04-08.CIN197304080,CIN,,SFG,2,43.9,4,3,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,.364,.385,.455,.839,2,.69,0.050,0.20,2B
4,1973-04-09.ATL197304090,CIN,@,ATL,1,43.9,5,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,.313,.333,.375,.708,2,1.73,-0.049,-0.07,2B
5,1973-04-11.LAN197304110,CIN,@,LAD,3,43.9,4,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.300,.318,.450,.768,2,.73,0.123,0.73,2B
6,1973-04-12.LAN197304120,CIN,@,LAD,3,43.9,5,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.320,.333,.480,.813,2,.94,0.127,0.58,2B
7,1973-04-13.SFN197304130,CIN,@,SFG,-1,43.9,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,.310,.344,.448,.792,2,1.71,-0.106,-0.14,2B
8,1973-04-14.SFN197304140,CIN,@,SFG,3,43.9,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.273,.324,.394,.718,2,.86,-0.076,-1.09,2B
9,1973-04-15.SFN197304151,CIN,@,SFG,11,17.8,5,4,0,2,1,0,0,2,0,0,0,0,0,1,0,0,3,0,.297,.333,.432,.766,2,.59,0.070,1.10,2B
10,1973-04-15.SFN197304152,CIN,@,SFG,4,43.9,5,4,3,3,0,0,2,2,1,0,0,0,0,0,0,0,2,0,.341,.383,.610,.993,2,.62,0.184,2.87,2B
11,1973-04-16.SDN197304160,CIN,@,SDP,1,43.9,5,4,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,.356,.404,.600,1.004,2,1.01,0.119,0.80,2B
12,1973-04-17.SDN197304170,CIN,@,SDP,3,43.9,4,3,2,2,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.375,.429,.667,1.095,2,1.04,0.244,2.04,2B
13,1973-04-18.SDN197304180,CIN,@,SDP,-2,43.9,4,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,.373,.433,.686,1.120,2,.81,-0.031,0.56,2B
14,1973-04-20.CIN197304200,CIN,,ATL,2,43.9,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,.365,.453,.673,1.126,2,.61,0.065,0.67,2B
15,1973-04-21.CIN197304210,CIN,,ATL,-1,43.9,5,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,.345,.441,.636,1.078,2,2.67,-0.193,-0.52,2B
16,1973-04-22.CIN197304220,CIN,,ATL,3,43.9,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,.333,.444,.614,1.058,2,.55,-0.021,-0.42,2B
17,1973-04-24.CIN197304240,CIN,,MON,-5,43.9,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.344,.447,.607,1.054,2,1.31,0.140,0.56,2B
18,1973-04-25.CIN197304250,CIN,,MON,3,43.9,5,5,1,2,1,0,1,3,0,0,1,0,0,0,0,0,0,0,.348,.444,.652,1.096,2,1.10,0.215,2.83,2B
19,1973-04-27.CIN197304270,CIN,,PHI,-2,43.9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.343,.435,.629,1.064,2,.83,-0.031,-0.17,2B
20,1973-04-28.CIN197304280,CIN,,PHI,-1,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.324,.416,.595,1.010,2,1.67,-0.161,-0.89,2B
21,1973-04-29.CIN197304290,CIN,,PHI,8,17.8,5,2,2,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,.329,.436,.605,1.041,2,.83,0.146,1.60,2B
22,1973-05-02.NYN197305020,CIN,@,NYM,5,43.9,4,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.316,.429,.582,1.011,2,.48,-0.002,-0.09,2B
23,1973-05-03.NYN197305030,CIN,@,NYM,1,43.9,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,.329,.441,.585,1.027,2,1.01,0.063,0.75,2B
24,1973-05-04.MON197305040,CIN,@,MON,-3,43.9,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.314,.430,.558,.988,2,.84,-0.007,-0.20,2B
25,1973-05-05.MON197305050,CIN,@,MON,-2,0.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.314,.435,.558,.993,9,2.76,0.012,0.11,PH
27,1973-05-07.PHI197305070,CIN,@,PHI,-1,0.7,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.322,.440,.575,1.015,8,2.48,0.309,1.89,PH
