team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,2007-04-02.WAS200704020,FLA,@,WSN,7,43.9,6,6,4,4,2,0,0,1,0,0,0,0,0,0,0,0,2,0,.667,.667,1.000,1.667,1,.73,0.153,2.05,SS
2,2007-04-03.WAS200704030,FLA,@,WSN,6,43.9,5,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,.444,.500,.667,1.167,1,.39,0.011,-0.91,SS
3,2007-04-04.WAS200704040,FLA,@,WSN,-1,43.9,5,5,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,.429,.467,.714,1.181,1,.60,0.084,1.11,SS
4,2007-04-06.FLO200704060,FLA,,PHI,-6,43.9,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.368,.400,.737,1.137,1,.80,0.000,-0.82,SS
5,2007-04-07.FLO200704070,FLA,,PHI,3,43.9,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,.333,.360,.625,.985,1,.90,-0.034,-0.71,SS
6,2007-04-08.FLO200704080,FLA,,PHI,2,11.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.320,.346,.600,.946,1,.83,-0.021,-0.24,SS
10,2007-04-13.ATL200704130,FLA,@,ATL,7,43.9,5,4,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.345,.387,.586,.973,1,.58,0.073,1.10,SS
11,2007-04-15.ATL200704150,FLA,@,ATL,-4,16.7,4,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,.355,.429,.581,1.009,1,.80,0.078,0.91,SS
12,2007-04-16.HOU200704160,FLA,@,HOU,-1,43.9,5,4,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,.371,.450,.629,1.079,1,1.47,-0.053,-0.39,SS
13,2007-04-17.HOU200704170,FLA,@,HOU,-5,43.9,5,4,1,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,.385,.467,.692,1.159,1,.87,-0.012,0.61,SS
14,2007-04-18.FLO200704180,FLA,,NYM,-7,43.9,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.372,.449,.674,1.123,1,.45,-0.046,-0.71,SS
