team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game
1,1985-04-09.CHN198504090,CHC,,PIT,1,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,2,.54,-0.054,-0.71,2B
2,1985-04-11.CHN198504110,CHC,,PIT,3,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,.000,.000,.000,2,.56,-0.053,-0.98,2B
3,1985-04-12.CHN198504120,CHC,,MON,-4,43.9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,.46,-0.047,-0.66,2B
4,1985-04-13.CHN198504130,CHC,,MON,5,43.9,5,5,2,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,.059,.059,.118,.176,2,.38,0.035,0.37,2B
5,1985-04-14.CHN198504140,CHC,,MON,2,43.9,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.050,.095,.100,.195,2,.69,-0.028,-0.36,2B
6,1985-04-15.CHN198504150,CHC,,PHI,1,43.9,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.125,.160,.167,.327,2,1.49,-0.011,0.00,2B
7,1985-04-16.CHN198504160,CHC,,PHI,1,45.0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.107,.138,.143,.281,2,1.32,-0.141,-0.98,2B
8,1985-04-17.CHN198504170,CHC,,PHI,1,43.9,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.156,.182,.188,.369,2,1.67,0.104,0.58,2B
9,1985-04-19.MON198504190,CHC,@,MON,-2,43.9,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.167,.189,.194,.384,2,.88,-0.022,-0.10,2B
10,1985-04-20.MON198504200,CHC,@,MON,-4,43.9,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.150,.171,.175,.346,2,.87,-0.085,-0.83,2B
