year_ID,player_ID,name_common,age,team_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_summary
1875,abadijo01,John Abadie,24,TOT,12,49,49,4,11,0,0,0,5,1,0,0,3,.224,.224,.224,.449,61,11,0,,,,,3
1875,abadijo01,John Abadie,24,CEN,11,45,45,3,10,0,0,0,4,1,0,0,3,.222,.222,.222,.444,59,10,0,,,,,3
1875,abadijo01,John Abadie,24,BRA,1,4,4,1,1,0,0,0,1,0,0,0,0,.250,.250,.250,.500,84,1,0,,,,,/3
1875,addybo01,Bob Addy,33,PHI,69,310,310,60,80,8,4,0,43,16,8,0,2,.258,.258,.310,.568,92,96,0,,,,,*O/4
1875,allisar01,Art Allison,26,TOT,66,288,287,44,66,7,2,1,22,7,2,1,5,.230,.233,.279,.511,74,80,2,,,,,*O3/42
1875,allisar01,Art Allison,26,WAS,26,113,112,18,24,3,1,0,3,6,0,1,2,.214,.221,.259,.480,68,29,2,,,,,3/O2
1875,allisar01,Art Allison,26,HAR,40,175,175,26,42,4,1,1,19,1,2,0,3,.240,.240,.291,.531,78,51,0,,,,,*O/432
1875,allisdo01,Doug Allison,28,HAR,61,275,269,38,67,7,0,0,21,2,0,6,3,.249,.265,.275,.541,82,74,1,,,,,*2/3O
1875,ansonca01,Cap Anson,23,ATH,69,330,326,84,106,15,3,0,58,11,6,4,2,.325,.333,.390,.723,142,127,1,,,,,3O2/5
1875,arundha01,Harry Arundel,20,BRA,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,,,,,/O1
1875,banckst01,Studs Bancker,22,NHV,19,72,72,3,11,0,0,0,2,1,0,0,3,.153,.153,.153,.306,12,11,0,,,,,2/4536
1875,barloto01,Tom Barlow,23,TOT,2,9,9,1,1,0,0,0,0,0,0,0,0,.111,.111,.111,.222,-18,1,0,,,,,/46
1875,barloto01,Tom Barlow,23,NHV,1,5,5,1,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,47,1,0,,,,,/6
1875,barloto01,Tom Barlow,23,BRA,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,,,,,/4
1875,barnero01,Ross Barnes,25,BOS,78,400,393,115,143,20,4,1,58,29,6,7,3,.364,.375,.443,.818,176,174,0,,,,,*4/O6
1875,barnibi01,Billy Barnie,22,TOT,19,71,70,4,9,1,0,0,3,0,0,1,3,.129,.141,.143,.284,-3,10,0,,,,,O/2
1875,barnibi01,Billy Barnie,22,WES,10,36,36,3,4,1,0,0,2,0,0,0,3,.111,.111,.139,.250,-16,5,0,,,,,/O2
1875,barnibi01,Billy Barnie,22,NYU,9,35,34,1,5,0,0,0,1,0,0,1,0,.147,.171,.147,.318,11,5,0,,,,,/2O
1875,battijo01,Joe Battin,21,STL,67,284,284,31,71,6,3,0,33,15,3,0,6,.250,.250,.292,.542,96,83,3,,,,,*4/52O
1875,bealsto01,Tommy Beals,24,BOS,35,158,155,38,41,2,6,0,16,1,0,3,1,.265,.278,.355,.633,113,55,1,,,,,O/4
1875,bechtge01,George Bechtel,26,TOT,49,227,225,45,63,11,2,0,27,2,0,2,4,.280,.286,.347,.633,115,78,1,,,,,O1
1875,bechtge01,George Bechtel,26,CEN,14,62,61,12,17,5,0,0,7,0,0,1,1,.279,.290,.361,.651,131,22,0,,,,,1
1875,bechtge01,George Bechtel,26,ATH,35,165,164,33,46,6,2,0,20,2,0,1,3,.280,.285,.341,.626,110,56,1,,,,,O/1
1875,bielaos01,Oscar Bielaski,28,CHI,51,203,201,21,48,1,0,0,11,5,5,2,5,.239,.246,.244,.490,69,49,0,,,,,*O
1875,blongjo01,Joe Blong,21,SLR,16,68,68,3,10,2,0,0,5,1,0,0,7,.147,.147,.176,.324,16,12,1,,,,,1/O
1875,bolan01,Boland,--,BRA,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,,,,,/5
1875,bondto01,Tommy Bond,19,HAR,72,289,289,32,77,11,3,0,33,5,1,0,5,.266,.266,.325,.592,98,94,6,,,,,*1O/34
1875,booth01,Booth,--,NHV,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,,,,,/6
1875,boothed01,Eddie Booth,--,NYU,68,281,281,33,56,3,4,0,18,4,3,0,2,.199,.199,.238,.438,51,67,3,,,,,*O/4
1875,bordejo01,Joe Borden,21,PHI,7,28,28,3,3,0,0,0,1,0,0,0,1,.107,.107,.107,.214,-27,3,0,,,,,/1
1875,boydbi01,Bill Boyd,22,BRA,36,152,151,14,44,11,0,1,10,0,0,1,0,.291,.296,.384,.680,147,58,0,,,,,4O/5316
1875,bradlge01,George Bradley,22,STL,60,255,254,28,62,7,3,0,24,3,3,1,19,.244,.247,.295,.542,96,75,2,,,,,*1/64O
1875,brady01,Spike Brady,20,CHI,1,4,4,1,1,0,1,0,0,0,0,0,0,.250,.250,.750,1.000,230,3,0,,,,,/O
1875,bradyst01,Steve Brady,23,TOT,22,95,95,7,13,0,0,0,3,5,0,0,5,.137,.137,.137,.274,-4,13,1,,,,,4/O32
1875,bradyst01,Steve Brady,23,WAS,21,91,91,7,13,0,0,0,3,5,0,0,4,.143,.143,.143,.286,1,13,1,,,,,4/O32
1875,bradyst01,Steve Brady,23,HAR,1,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,,,,,/O
1875,brannmi01,Mike Brannock,23,CHI,2,9,9,2,1,0,0,0,0,2,0,0,0,.111,.111,.111,.222,-23,1,0,,,,,/5
1875,brownol01,Oliver Brown,26,BRA,3,10,10,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,,,,,/3O
1875,burdoja01,Jack Burdock,23,HAR,74,353,350,72,103,12,5,0,35,20,11,3,13,.294,.300,.357,.657,120,125,4,,,,,*4/52
1875,bushodo01,Doc Bushong,18,BRA,1,5,5,0,3,0,1,0,0,0,0,0,0,.600,.600,1.000,1.600,474,5,0,,,,,/2
1875,carbijo01,John Carbine,19,WES,10,36,36,0,3,0,0,0,2,0,0,0,1,.083,.083,.083,.167,-44,3,3,,,,,3
1875,careyto01,Tom Carey,28,HAR,86,383,382,63,101,6,2,0,38,13,3,1,3,.264,.266,.291,.557,87,111,1,,,,,*6/4
1875,cassijo01,John Cassidy,20,TOT,47,188,188,17,32,4,2,1,7,0,1,0,5,.170,.170,.229,.399,45,43,2,,,,,13O/4
1875,cassijo01,John Cassidy,20,BRA,41,166,166,14,29,3,2,1,6,0,0,0,4,.175,.175,.235,.410,48,39,1,,,,,1O3/4
1875,cassijo01,John Cassidy,20,NHV,6,22,22,3,3,1,0,0,1,0,1,0,1,.136,.136,.182,.318,15,4,1,,,,,/3
