year_ID,player_ID,name_common,age,team_ID,lg_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,onbase_plus_slugging_plus,TB,GIDP,HBP,SH,SF,IBB,pos_summary
1925,adamsba01,Babe Adams,43,PIT,NL,33,35,31,3,7,1,0,0,1,0,0,3,6,.226,.294,.258,.552,39,8,,0,1,,,1
1925,adamsbo01,Bob Adams,23,BOS,AL,2,3,3,1,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,70,1,,0,0,,,/1
1925,adamssp01,Sparky Adams,30,CHC,NL,149,687,627,95,180,29,8,2,48,26,12,44,15,.287,.341,.368,.709,80,231,,7,9,,,*4/6
1925,adamssp02,Spencer Adams,27,WSH,AL,39,65,55,11,15,4,1,0,4,1,1,5,4,.273,.333,.382,.715,82,21,,0,3,,,4/65
1925,aldrivi01,Vic Aldridge,31,PIT,NL,30,88,86,3,20,0,0,1,10,0,0,0,4,.233,.233,.267,.500,24,23,,0,2,,,1
1925,alexape01,Pete Alexander,38,CHC,NL,32,89,79,7,19,4,1,2,12,0,2,1,5,.241,.250,.392,.642,60,31,,0,9,,,1
1925,anderbi01,Bill Anderson,29,BSN,NL,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,,/1
1925,andreel01,Elbert Andrews,23,PHA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,/1
1925,archdma01,Maurice Archdeacon,26,CHW,AL,10,12,9,2,1,0,0,0,0,0,0,2,1,.111,.273,.111,.384,2,1,,0,1,,,/7
1925,ashke01,Ken Ash,23,CHW,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,/1
1925,austiji01,Jimmy Austin,45,SLB,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,,/5
1925,bagwebi01,Bill Bagwell,30,PHA,AL,36,54,50,4,15,2,1,0,10,0,0,2,2,.300,.327,.380,.707,74,19,,0,2,,,/7
1925,baldwha01,Harry Baldwin,25,NYG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,/1
1925,ballowi01,Win Ballou,27,WSH,AL,10,7,7,1,1,1,0,0,0,0,0,0,3,.143,.143,.286,.429,8,2,,0,0,,,1
1925,bancrda01,Dave Bancroft,34,BSN,NL,128,560,479,75,153,29,8,2,49,7,4,64,22,.319,.400,.426,.826,119,204,,0,17,,,*6
1925,barneje01,Jesse Barnes,32,BSN,NL,32,87,81,11,16,0,0,1,10,0,0,3,6,.198,.226,.235,.461,23,19,,0,3,,,1
1925,barnevi01,Virgil Barnes,28,NYG,NL,32,91,89,4,9,0,0,0,0,0,1,0,26,.101,.101,.101,.202,-47,9,,0,2,,,1
1925,barnhcl01,Clyde Barnhart,29,PIT,NL,142,617,539,85,175,32,11,4,114,9,5,59,25,.325,.391,.447,.838,109,241,,0,19,,,*7
1925,barrebi02,Bill Barrett,25,CHW,AL,81,277,245,44,89,23,3,3,40,5,6,24,27,.363,.420,.518,.938,142,127,,0,8,,,49/5678
1925,barrebo01,Bob Barrett,26,TOT,NL,15,36,33,1,10,1,0,0,8,1,2,1,4,.303,.324,.333,.657,67,11,,0,2,,,/54
1925,barrebo01,Bob Barrett,26,CHC,NL,14,35,32,1,10,1,0,0,7,1,2,1,4,.313,.333,.344,.677,72,11,,0,2,,,/54
1925,barrebo01,Bob Barrett,26,BRO,NL,1,1,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,,
1925,bassljo01,Johnny Bassler,30,DET,AL,121,433,344,40,96,19,3,0,52,1,1,74,6,.279,.408,.352,.760,96,121,,1,14,,,*2
1925,batchjo01,Joe Batchelder,26,BSN,NL,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,,/1
