year_ID,player_ID,name_common,age,team_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1875,arundha01,Harry Arundel,20,BRA,0,1,.000,7.71,1,1,0,0,0,0,2.1,6,6,2,0,0,,0,,0,0,15,36,2.24,2.571,23.1,0.0,0.0,0.0,
1875,bechtge01,George Bechtel,26,TOT,5,13,.278,2.67,18,18,0,18,0,0,162.0,210,157,48,0,8,,9,,0,10,771,84,2.28,1.346,11.7,0.0,0.4,0.5,1.13
1875,bechtge01,George Bechtel,26,CEN,2,12,.143,2.71,14,14,0,14,0,0,126.0,169,138,38,0,5,,6,,0,9,621,81,2.26,1.381,12.1,0.0,0.4,0.4,1.20
1875,bechtge01,George Bechtel,26,ATH,3,1,.750,2.50,4,4,0,4,0,0,36.0,41,19,10,0,3,,3,,0,1,150,97,2.32,1.222,10.3,0.0,0.8,0.8,1.00
1875,blongjo01,Joe Blong,21,SLR,3,12,.200,3.07,15,15,1,12,1,0,129.0,169,121,44,0,2,,14,,1,12,597,72,2.07,1.326,11.8,0.0,0.1,1.0,7.00
1875,bondto01,Tommy Bond,19,HAR,19,16,.543,1.41,40,39,2,37,6,0,352.0,302,152,55,3,7,,70,,0,17,1408,167,2.01,0.878,7.7,0.1,0.2,1.8,10.00
1875,bordejo01,Joe Borden,21,PHI,2,4,.333,1.50,7,7,0,7,2,0,66.0,47,30,11,0,7,,9,,0,1,266,154,2.28,0.818,6.4,0.0,1.0,1.2,1.29
1875,boydbi01,Bill Boyd,22,BRA,0,0,,0.00,1,0,1,0,0,0,1.2,4,3,0,0,0,,0,,0,1,9,,2.24,2.400,21.6,0.0,0.0,0.0,
1875,bradlge01,George Bradley,22,STL,33,26,.559,2.13,60,60,1,57,5,0,535.2,540,304,127,3,17,,60,,0,23,2258,91,2.18,1.040,9.1,0.1,0.3,1.0,3.53
1875,cassijo01,John Cassidy,20,BRA,1,21,.045,3.03,30,22,8,18,0,0,213.2,284,242,72,3,11,,9,,0,20,1035,70,2.49,1.381,12.0,0.1,0.5,0.4,0.82
1875,clintji01,Jim Clinton,24,BRA,1,13,.071,2.41,17,14,3,9,0,0,123.0,141,104,33,0,5,,7,,0,17,544,88,2.25,1.187,10.3,0.0,0.4,0.5,1.40
1875,cummica01,Candy Cummings,26,HAR,35,12,.745,1.60,48,47,1,46,7,0,416.0,397,184,74,0,4,,82,,0,17,1696,146,1.87,0.964,8.6,0.0,0.1,1.8,20.50
1875,devliji01,Jim Devlin,26,CHI,7,16,.304,1.93,28,24,4,24,0,0,224.0,254,179,48,0,12,,23,,0,14,1005,118,2.19,1.188,10.2,0.0,0.5,0.9,1.92
1875,edwar01,Edwards,--,BRA,0,1,.000,4.50,1,1,0,0,0,0,2.0,4,6,1,0,0,,0,,0,1,13,64,2.24,2.000,18.0,0.0,0.0,0.0,
1875,fergubo01,Bob Ferguson,30,HAR,0,0,,22.50,1,0,0,0,0,0,2.0,9,7,5,1,0,,0,,0,1,15,14,8.74,4.500,40.5,4.5,0.0,0.0,
1875,fishech01,Cherokee Fisher,30,PHI,22,19,.537,1.99,41,41,2,36,2,0,358.0,345,189,79,6,9,,18,,0,12,1517,116,2.43,0.989,8.7,0.2,0.2,0.5,2.00
1875,fleetfr01,Frank Fleet,27,TOT,2,2,.500,3.83,5,4,0,4,0,0,42.1,59,37,18,0,3,,3,,0,2,200,54,2.31,1.465,12.5,0.0,0.6,0.6,1.00
1875,fleetfr01,Frank Fleet,27,STL,2,1,.667,3.33,3,3,0,3,0,0,27.0,33,17,10,0,3,,3,,0,1,122,60,2.35,1.333,11.0,0.0,1.0,1.0,1.00
1875,fleetfr01,Frank Fleet,27,BRA,0,1,.000,4.70,2,1,0,1,0,0,15.1,26,20,8,0,0,,0,,0,1,78,47,2.24,1.696,15.3,0.0,0.0,0.0,
1875,galvipu01,Pud Galvin,18,STL,4,2,.667,1.16,8,7,1,7,0,1,62.0,53,37,8,0,1,,8,,0,1,255,169,2.03,0.871,7.7,0.0,0.1,1.2,8.00
1875,gedneco01,Count Gedney,26,NYU,1,0,1.000,0.82,2,1,1,1,0,0,11.0,7,4,1,0,1,,2,,0,2,43,292,2.15,0.727,5.7,0.0,0.8,1.6,2.00
1875,goldemi01,Mike Golden,23,TOT,7,19,.269,1.86,27,27,0,25,1,0,232.0,240,183,48,0,20,,34,,0,25,1037,127,2.20,1.121,9.3,0.0,0.8,1.3,1.70
1875,goldemi01,Mike Golden,23,WES,1,12,.077,1.83,13,13,0,13,0,0,113.0,111,88,23,0,12,,20,,0,12,506,134,2.20,1.088,8.8,0.0,1.0,1.6,1.67
1875,goldemi01,Mike Golden,23,CHI,6,7,.462,1.89,14,14,0,12,1,0,119.0,129,95,25,0,8,,14,,0,13,531,121,2.21,1.151,9.8,0.0,0.6,1.1,1.75
1875,heifefr01,Frank Heifer,21,BOS,0,0,,15.43,2,0,1,0,0,1,2.1,6,4,4,0,0,,0,,0,0,13,18,2.24,2.571,23.1,0.0,0.0,0.0,
1875,knighge01,George Knight,19,NHV,1,0,1.000,3.00,1,1,0,1,0,0,9.0,12,6,3,0,0,,0,,0,0,41,75,2.24,1.333,12.0,0.0,0.0,0.0,
1875,knighlo01,Lon Knight,22,ATH,6,5,.545,2.27,13,13,0,12,0,0,107.0,114,73,27,0,12,,15,,0,7,453,106,2.30,1.178,9.6,0.0,1.0,1.3,1.25
1875,luffhe01,Henry Luff,22,NHV,1,6,.143,3.28,10,7,2,5,0,0,68.2,98,91,25,2,3,,5,,2,5,335,65,2.60,1.471,12.8,0.3,0.4,0.7,1.67
1875,mannija01,Jack Manning,21,BOS,16,2,.889,2.38,27,18,7,8,1,6,144.0,152,86,38,1,14,,34,,0,15,630,91,2.15,1.153,9.5,0.1,0.9,2.1,2.43
1875,masonch01,Charlie Mason,22,WAS,0,0,,4.50,1,0,1,0,0,0,2.0,3,2,1,0,1,,0,,0,0,11,70,3.74,2.000,13.5,0.0,4.5,0.0,0.00
1875,mathebo01,Bobby Mathews,23,NYU,29,38,.433,2.49,70,70,0,69,3,0,625.2,711,421,173,4,20,,75,,0,28,2759,90,2.18,1.168,10.2,0.1,0.3,1.1,3.75
1875,mcbridi01,Dick McBride,28,ATH,44,14,.759,2.33,60,60,0,59,6,0,538.0,607,297,139,4,24,,27,,0,8,2294,103,2.37,1.173,10.2,0.1,0.4,0.5,1.13
1875,mcmuljo01,John McMullin,26,PHI,0,0,,7.94,4,0,3,0,0,0,11.1,32,23,10,0,1,,0,,0,3,70,31,2.50,2.912,25.4,0.0,0.8,0.0,0.00
1875,mcveyca01,Cal McVey,25,BOS,1,0,1.000,4.91,3,2,1,0,0,1,11.0,15,9,6,0,1,,1,,0,2,52,47,2.33,1.455,12.3,0.0,0.8,0.8,1.00
1875,morgapi01,Pidgey Morgan,22,SLR,1,3,.250,1.29,7,4,2,4,1,0,42.0,40,40,6,0,1,,7,,0,2,190,174,1.98,0.976,8.6,0.0,0.2,1.5,7.00
1875,nichotr01,Tricky Nichols,24,NHV,4,29,.121,2.38,34,33,2,30,0,0,288.0,321,245,76,2,9,,48,,1,20,1333,88,2.09,1.146,10.0,0.1,0.3,1.5,5.33
1875,o'neij.01,Hugh O'Neil,19,BRA,0,4,.000,5.03,5,4,1,3,0,0,34.0,59,45,19,3,0,,0,,0,2,172,43,3.39,1.735,15.6,0.8,0.0,0.0,
1875,paborch01,Charlie Pabor,28,BRA,0,1,.000,9.00,1,1,0,0,0,0,4.0,11,12,4,0,1,,0,,0,0,28,28,2.99,3.000,24.8,0.0,2.3,0.0,0.00
1875,parksbi01,Bill Parks,26,TOT,4,8,.333,3.54,16,11,4,9,0,0,112.0,157,131,44,3,6,,3,,0,9,552,68,2.69,1.455,12.6,0.2,0.5,0.2,0.50
1875,parksbi01,Bill Parks,26,WAS,4,8,.333,3.29,14,11,3,9,0,0,106.2,144,120,39,3,5,,3,,0,8,520,73,2.69,1.397,12.2,0.3,0.4,0.3,0.60
1875,parksbi01,Bill Parks,26,PHI,0,0,,8.44,2,0,1,0,0,0,5.1,13,11,5,0,1,,0,,0,1,32,31,2.80,2.625,21.9,0.0,1.7,0.0,0.00
1875,pearcdi01,Dickey Pearce,39,STL,0,0,,3.38,2,0,1,0,0,0,5.1,10,11,2,0,0,,0,,0,0,30,66,2.24,1.875,16.9,0.0,0.0,0.0,
1875,ryanjo01,Johnny Ryan,21,NHV,1,5,.167,3.19,10,6,3,4,0,0,59.1,70,55,21,1,9,,1,,0,10,283,66,2.88,1.331,10.6,0.2,1.4,0.2,0.11
1875,spaldal01,Al Spalding,24,BOS,54,5,.915,1.59,72,62,12,52,7,9,570.2,573,241,101,1,18,,75,,1,17,2354,136,2.09,1.036,9.0,0.0,0.3,1.2,4.17
1875,stearbi01,Bill Stearns,22,WAS,1,14,.067,4.02,17,16,1,14,0,0,141.0,246,211,63,3,4,,3,,0,8,745,59,2.56,1.773,15.7,0.2,0.3,0.2,0.75
1875,suttoez01,Ezra Sutton,25,ATH,0,0,,10.50,2,0,2,0,0,0,6.0,14,13,7,0,0,,0,,0,1,34,25,2.24,2.333,21.0,0.0,0.0,0.0,
1875,weavesa01,Sam Weaver,19,PHI,1,0,1.000,1.50,1,1,0,1,0,0,6.0,6,2,1,0,2,,2,,0,1,27,170,2.57,1.333,9.0,0.0,3.0,3.0,1.00
1875,withech01,Charles Witherow,23,WAS,0,1,.000,18.00,1,1,0,0,0,0,1.0,4,5,2,0,0,,0,,0,0,9,22,2.24,4.000,36.0,0.0,0.0,0.0,
1875,wrighge01,George Wright,28,BOS,0,1,.000,6.75,2,0,1,0,0,0,4.0,5,3,3,0,0,,0,,0,0,17,38,2.24,1.250,11.3,0.0,0.0,0.0,
1875,zettlge01,George Zettlein,30,TOT,29,22,.569,1.59,52,52,0,49,7,0,463.1,475,263,82,0,16,,31,,0,16,1966,144,2.21,1.060,9.2,0.0,0.3,0.6,1.94
1875,zettlge01,George Zettlein,30,CHI,17,14,.548,1.28,31,31,0,29,6,0,282.0,266,142,40,0,6,,18,,0,12,1163,178,2.18,0.965,8.5,0.0,0.2,0.6,3.00
1875,zettlge01,George Zettlein,30,PHI,12,8,.600,2.08,21,21,0,20,1,0,181.1,209,121,42,0,10,,13,,0,4,803,110,2.26,1.208,10.4,0.0,0.5,0.6,1.30
