year_ID,player_ID,name_common,age,team_ID,lg_ID,W,L,win_loss_perc,earned_run_avg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,batters_faced,earned_run_avg_plus,fip,whip,hits_per_nine,home_runs_per_nine,bases_on_balls_per_nine,strikeouts_per_nine,strikeouts_per_base_on_balls
1955,aberal01,Al Aber,27,DET,AL,6,3,.667,3.38,39,1,22,0,0,3,80.0,86,32,30,9,28,1,37,0,0,1,346,116,3.95,1.425,9.7,1.0,3.2,4.2,1.32
1955,abernte02,Ted Abernathy,22,WSH,AL,5,9,.357,5.96,40,14,12,3,2,0,119.1,136,87,79,9,67,1,79,7,0,2,553,66,3.88,1.701,10.3,0.7,5.1,6.0,1.18
1955,aguirha01,Hank Aguirre,24,CLE,AL,2,0,1.000,1.42,4,1,1,1,1,0,12.2,6,3,2,0,12,0,6,0,0,1,54,290,4.26,1.421,4.3,0.0,8.5,4.3,0.50
1955,alexabo01,Bob Alexander,32,BAL,AL,1,0,1.000,13.50,4,0,2,0,0,0,4.0,8,6,6,0,2,0,1,1,0,1,22,31,4.12,2.500,18.0,0.0,4.5,2.3,0.50
1955,amorvi01,Vicente Amor,22,CHC,NL,0,1,.000,4.50,4,0,3,0,0,0,6.0,11,3,3,0,3,1,3,0,1,1,31,97,2.87,2.333,16.5,0.0,4.5,4.5,1.00
1955,andrejo01,John Andre,32,CHC,NL,0,1,.000,5.80,22,3,5,0,0,1,45.0,45,34,29,7,28,4,19,1,0,1,207,72,5.48,1.622,9.0,1.4,5.6,3.8,0.68
1955,antonjo02,Johnny Antonelli,25,NYG,NL,14,16,.467,3.33,38,34,1,14,2,1,235.1,206,105,87,24,82,5,143,11,0,3,986,123,3.66,1.224,7.9,0.9,3.1,5.5,1.74
1955,arroylu01,Luis Arroyo,28,STL,NL,11,8,.579,4.19,35,24,5,9,1,0,159.0,162,80,74,22,63,6,68,2,0,6,691,97,4.54,1.415,9.2,1.2,3.6,3.8,1.08
1955,baczefr01,Fred Baczewski,29,CIN,NL,0,0,,18.00,1,0,0,0,0,0,1.0,2,2,2,2,0,0,0,0,0,0,5,32,28.37,2.000,18.0,18.0,0.0,0.0,
1955,baumafr01,Frank Baumann,21,BOS,AL,2,1,.667,5.82,7,5,2,0,0,0,34.0,38,28,22,2,17,0,27,1,0,2,156,75,3.13,1.618,10.1,0.5,4.5,7.1,1.59
1955,bellbi01,Bill Bell,21,PIT,NL,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,,5.37,1.000,0.0,0.0,9.0,0.0,0.00
1955,bessedo01,Don Bessent,24,BRO,NL,8,1,.889,2.70,24,2,8,1,0,3,63.1,51,19,19,7,21,2,29,0,0,1,255,152,3.88,1.137,7.2,1.0,3.0,4.1,1.38
1955,birreba01,Babe Birrer,25,DET,AL,4,3,.571,4.15,36,3,15,1,0,3,80.1,77,39,37,9,29,4,28,0,0,0,343,94,4.21,1.320,8.6,1.0,3.2,3.1,0.97
1955,bishoch01,Charlie Bishop,31,KCA,AL,1,0,1.000,5.40,4,0,2,0,0,0,6.2,6,7,4,1,8,2,4,3,0,0,36,81,8.07,2.100,8.1,1.4,10.8,5.4,0.50
1955,blackbu01,Bud Black,22,DET,AL,1,1,.500,1.29,3,2,0,1,1,0,14.0,12,5,2,0,8,0,7,2,0,1,63,310,3.51,1.429,7.7,0.0,5.1,4.5,0.88
1955,blackjo02,Joe Black,31,TOT,NL,6,2,.750,4.05,38,11,15,1,0,3,117.2,121,63,53,14,30,4,63,0,2,0,501,104,3.61,1.283,9.3,1.1,2.3,4.8,2.10
1955,blackjo02,Joe Black,31,BRO,NL,1,0,1.000,2.93,6,0,2,0,0,0,15.1,15,5,5,1,5,1,9,0,1,0,62,142,3.02,1.304,8.8,0.6,2.9,5.3,1.80
1955,blackjo02,Joe Black,31,CIN,NL,5,2,.714,4.22,32,11,13,1,0,3,102.1,106,58,48,13,25,3,54,0,1,0,439,100,3.70,1.280,9.3,1.1,2.2,4.7,2.16
1955,blackew01,Ewell Blackwell,32,KCA,AL,0,1,.000,6.75,2,0,2,0,0,1,4.0,3,3,3,1,5,0,2,1,0,0,18,67,9.12,2.000,6.8,2.3,11.3,4.5,0.40
1955,bowmaro01,Roger Bowman,27,PIT,NL,0,3,.000,8.64,7,2,1,0,0,0,16.2,25,18,16,2,10,2,8,1,0,4,85,48,4.95,2.100,13.5,1.1,5.4,4.3,0.80
1955,boyercl01,Cloyd Boyer,27,KCA,AL,5,5,.500,6.22,30,11,12,2,0,0,98.1,107,81,68,21,69,3,32,7,0,3,466,67,6.81,1.790,9.8,1.9,6.3,2.9,0.46
1955,breweto01,Tom Brewer,23,BOS,AL,11,10,.524,4.20,31,28,1,9,2,0,192.2,198,101,90,21,87,3,91,8,0,7,856,103,4.32,1.479,9.2,1.0,4.1,4.3,1.05
1955,brododi01,Dick Brodowski,22,BOS,AL,1,0,1.000,5.63,16,0,6,0,0,0,32.0,36,25,20,5,25,2,10,1,1,1,153,78,6.21,1.906,10.1,1.4,7.0,2.8,0.40
1955,brownha01,Hal Brown,30,TOT,AL,1,4,.200,3.98,17,5,4,1,0,0,61.0,53,31,27,5,28,1,28,0,0,3,262,97,3.89,1.328,7.8,0.7,4.1,4.1,1.00
1955,brownha01,Hal Brown,30,BOS,AL,1,0,1.000,2.25,2,0,1,0,0,0,4.0,2,1,1,0,2,0,2,0,0,0,16,209,2.87,1.000,4.5,0.0,4.5,4.5,1.00
