team_game_num,date_game,team_ID,team_homeORaway,opp_ID,game_result,player_game_span,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,re24_bat,pos_game,player_ID,year_ID
1,1973-04-06.ATL197304060,HOU,@,ATL,1,48.3,6,6,0,3,2,1,0,1,0,0.0,2,0,0,0.0,0,0.0,0,0,0.5,0.5,1.167,1.6669999999999998,3,1.6,0.418,0.92,CF,cedence01,1973
2,1973-04-08.ATL197304081,HOU,@,ATL,7,43.9,5,5,3,4,2,0,1,2,0,0.0,0,0,0,0.0,0,0.0,0,0,0.636,0.636,1.455,2.0909999999999997,3,0.73,0.264,3.02,CF,cedence01,1973
3,1973-04-08.ATL197304082,HOU,@,ATL,-1,45.0,4,4,0,1,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,1,1,0.5329999999999999,0.5329999999999999,1.133,1.6669999999999998,3,0.86,-0.022000000000000002,-0.6,CF,cedence01,1973
4,1973-04-09.HOU197304090,HOU,,LAD,3,43.9,3,3,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.5,0.5,1.0,1.5,3,1.49,-0.043,-0.32,CF,cedence01,1973
5,1973-04-10.HOU197304100,HOU,,LAD,1,47.2,5,4,0,0,0,0,0,0,1,1.0,0,0,0,0.0,0,1.0,0,0,0.409,0.435,0.818,1.253,3,1.29,-0.08199999999999999,-0.6,CF,cedence01,1973
6,1973-04-11.SFN197304110,HOU,@,SFG,-1,43.9,4,3,0,1,1,0,0,0,1,0.0,1,0,0,0.0,0,1.0,1,0,0.4,0.444,0.8,1.244,3,1.15,-0.08199999999999999,-0.36,CF,cedence01,1973
7,1973-04-12.SFN197304120,HOU,@,SFG,-6,43.9,4,4,0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.345,0.387,0.69,1.077,3,0.27,-0.027000000000000003,-0.64,CF,cedence01,1973
8,1973-04-13.SDN197304130,HOU,@,SDP,-1,43.9,4,3,1,1,0,0,1,1,1,0.0,0,0,0,0.0,0,0.0,1,0,0.344,0.4,0.75,1.15,3,0.49,0.135,0.99,CF,cedence01,1973
9,1973-04-14.SDN197304140,HOU,@,SDP,3,43.9,5,4,1,1,0,0,0,1,1,0.0,0,0,0,0.0,0,0.0,0,0,0.33299999999999996,0.4,0.6940000000000001,1.094,3,1.08,0.122,0.47,CF,cedence01,1973
10,1973-04-15.SDN197304151,HOU,@,SDP,-4,43.9,4,2,0,0,0,0,0,0,2,0.0,1,0,0,0.0,0,0.0,0,0,0.316,0.409,0.6579999999999999,1.067,3,0.68,-0.031,-0.3,CF,cedence01,1973
11,1973-04-15.SDN197304152,HOU,@,SDP,-4,43.9,3,3,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.293,0.38299999999999995,0.61,0.993,3,0.34,-0.025,-0.26,CF,cedence01,1973
12,1973-04-16.LAN197304160,HOU,@,LAD,-1,48.3,6,5,0,2,0,0,0,0,0,0.0,1,1,0,0.0,1,0.0,1,0,0.304,0.396,0.5870000000000001,0.983,3,2.14,0.674,2.38,CF,cedence01,1973
13,1973-04-17.LAN197304170,HOU,@,LAD,-5,43.9,4,4,0,2,2,0,0,0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.32,0.40399999999999997,0.62,1.024,3,0.38,0.06,1.37,CF,cedence01,1973
14,1973-04-18.LAN197304180,HOU,@,LAD,5,43.9,5,4,1,1,1,0,0,0,1,0.0,1,0,0,0.0,0,0.0,0,0,0.315,0.40299999999999997,0.611,1.014,3,0.88,-0.002,-0.11,CF,cedence01,1973
15,1973-04-20.HOU197304200,HOU,,SDP,4,43.9,4,2,2,1,0,0,0,0,2,0.0,0,0,0,0.0,0,0.0,2,0,0.321,0.424,0.607,1.031,3,0.5,0.026000000000000002,0.86,CF,cedence01,1973
